Day,Los Angeles Dodgers: (United States),Boston Red Sox: (United States),Chicago Cubs: (United States),Chicago White Sox: (United States),Cincinnati Reds: (United States)
6/1/2018,2,3,4,1,1
6/2/2018,3,5,6,2,1
6/3/2018,4,6,9,1,1
6/4/2018,2,4,3,1,1
6/5/2018,2,2,3,1,1
6/6/2018,2,3,5,1,1
6/7/2018,3,4,8,1,1
6/8/2018,2,3,5,1,1
6/9/2018,3,5,6,1,1
6/10/2018,5,5,6,1,1
6/11/2018,2,2,3,1,1
6/12/2018,2,3,6,1,1
6/13/2018,3,4,6,1,1
6/14/2018,4,2,3,1,1
6/15/2018,2,3,2,1,1
6/16/2018,4,4,6,1,1
6/17/2018,5,5,7,1,1
6/18/2018,2,2,6,1,1
6/19/2018,4,2,9,1,1
6/20/2018,4,3,8,1,1
6/21/2018,2,4,4,1,1
6/22/2018,2,2,5,1,1
6/23/2018,3,5,6,1,2
6/24/2018,4,6,5,1,2
6/25/2018,2,2,2,<1,1
6/26/2018,3,2,4,1,1
6/27/2018,3,3,5,1,2
6/28/2018,4,5,6,1,1
6/29/2018,2,4,5,1,1
6/30/2018,3,5,8,1,2
7/1/2018,3,6,7,1,2
7/2/2018,2,5,3,<1,1
7/3/2018,3,4,5,1,1
7/4/2018,4,5,6,1,2
7/5/2018,3,2,4,1,1
7/6/2018,2,2,5,1,1
7/7/2018,4,5,6,1,2
7/8/2018,4,7,8,1,2
7/9/2018,3,3,3,1,1
7/10/2018,3,4,5,1,1
7/11/2018,2,4,7,1,1
7/12/2018,3,4,4,1,1
7/13/2018,3,5,3,1,1
7/14/2018,5,8,6,1,2
7/15/2018,5,6,9,1,2
7/16/2018,2,2,3,<1,1
7/17/2018,2,2,2,<1,1
7/18/2018,5,2,2,<1,1
7/19/2018,3,2,3,<1,1
7/20/2018,2,2,9,<1,1
7/21/2018,5,5,8,1,2
7/22/2018,4,5,11,1,2
7/23/2018,2,3,5,<1,1
7/24/2018,3,4,6,1,1
7/25/2018,6,5,7,1,2
7/26/2018,2,5,6,1,1
7/27/2018,3,4,5,1,1
7/28/2018,4,6,9,1,2
7/29/2018,5,8,6,1,2
7/30/2018,2,3,7,1,1
7/31/2018,5,7,5,1,1
8/1/2018,4,5,5,1,1
8/2/2018,4,3,6,1,1
8/3/2018,5,8,7,1,1
8/4/2018,5,12,6,1,1
8/5/2018,6,6,7,1,1
8/6/2018,2,12,3,1,1
8/7/2018,2,3,6,1,1
8/8/2018,3,6,5,1,1
8/9/2018,3,5,5,1,1
8/10/2018,3,5,5,1,1
8/11/2018,3,9,6,1,1
8/12/2018,4,10,5,1,1
8/13/2018,2,3,8,<1,1
8/14/2018,3,3,5,1,1
8/15/2018,4,5,5,1,1
8/16/2018,5,5,4,<1,1
8/17/2018,2,3,5,<1,1
8/18/2018,3,7,8,1,1
8/19/2018,5,8,9,1,1
8/20/2018,2,3,3,1,1
8/21/2018,4,4,4,1,1
8/22/2018,3,4,6,2,1
8/23/2018,3,7,6,1,1
8/24/2018,2,3,8,1,1
8/25/2018,3,6,8,1,1
8/26/2018,6,6,8,1,1
8/27/2018,2,2,4,1,<1
8/28/2018,2,3,7,1,<1
8/29/2018,3,5,12,1,1
8/30/2018,3,5,4,1,1
8/31/2018,3,5,7,1,<1
9/1/2018,4,7,7,2,1
9/2/2018,7,8,8,1,1
9/3/2018,4,5,7,1,1
9/4/2018,4,3,3,1,<1
9/5/2018,4,6,5,1,<1
9/6/2018,3,3,6,1,1
9/7/2018,2,2,6,1,1
9/8/2018,4,7,12,1,1
9/9/2018,4,4,12,1,1
9/10/2018,2,5,4,<1,1
9/11/2018,3,2,6,<1,1
9/12/2018,3,5,7,<1,1
9/13/2018,2,4,9,<1,<1
9/14/2018,3,4,5,<1,<1
9/15/2018,6,6,12,1,1
9/16/2018,3,6,8,1,1
9/17/2018,4,2,3,<1,<1
9/18/2018,4,3,7,<1,<1
9/19/2018,5,5,7,<1,1
9/20/2018,5,5,6,1,<1
9/21/2018,3,7,6,1,<1
9/22/2018,6,6,7,1,<1
9/23/2018,7,6,13,2,<1
9/24/2018,3,5,4,1,<1
9/25/2018,5,4,7,1,<1
9/26/2018,5,5,10,1,1
9/27/2018,6,4,15,1,<1
9/28/2018,3,2,15,<1,<1
9/29/2018,14,7,12,<1,1
9/30/2018,13,5,26,<1,1
10/1/2018,15,2,30,<1,<1
10/2/2018,6,2,12,<1,<1
10/3/2018,4,2,43,<1,<1
10/4/2018,5,5,3,<1,<1
10/5/2018,16,7,2,<1,<1
10/6/2018,14,23,1,<1,<1
10/7/2018,6,19,1,<1,<1
10/8/2018,22,7,1,<1,<1
10/9/2018,9,21,1,<1,<1
10/10/2018,4,25,1,<1,<1
10/11/2018,3,5,1,<1,<1
10/12/2018,6,4,1,<1,<1
10/13/2018,32,8,1,<1,<1
10/14/2018,9,28,1,<1,<1
10/15/2018,8,20,1,<1,<1
10/16/2018,18,12,1,<1,<1
10/17/2018,47,18,1,<1,<1
10/18/2018,18,34,1,<1,<1
10/19/2018,15,31,1,<1,<1
10/20/2018,44,6,1,<1,<1
10/21/2018,52,7,1,<1,<1
10/22/2018,7,5,1,<1,<1
10/23/2018,11,9,1,<1,<1
10/24/2018,32,36,1,<1,<1
10/25/2018,28,32,1,<1,<1
10/26/2018,10,10,1,<1,<1
10/27/2018,100,73,1,<1,<1
10/28/2018,69,58,1,<1,<1
10/29/2018,36,55,1,<1,<1
10/30/2018,3,7,1,<1,<1
10/31/2018,2,7,1,<1,<1
